Timestamp,Charge,Battery%
1080,342172,100
1090,400415,100
1100,447736,100
1110,458657,100
1120,469577,100
1130,484138,100
1140,495058,100
1150,509619,100
1160,520539,100
1170,535100,100
1180,549660,100
1190,560581,100
1200,575141,100
1210,586062,100
1220,600622,100
1230,615183,100
1240,626103,100
1250,640664,100
1260,655224,100
1270,669785,100
1280,684345,100
1290,695266,100
1300,709826,100
1310,724387,100
1340,764428,100
1350,778989,100
1360,789909,100
1370,804470,100
1380,819030,100
1390,829951,100
1400,844511,100
1410,859072,100
1420,869992,100
1430,884553,100
1440,899113,100
